TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
DATE: 07/14/2023,,,,,,,,,,,,,,,,,,,
DESIGN: ek_ra8d1,,,,,,,,,,,,,,,,,,,
TEMPLATE: J:\ACLib\ree_site\cdssetup\bom\ree_all_v1.0.bom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Qty,CATEGORY,PART_NUMBER,VALUE,DESCRIPTION,JEDEC_TYPE,Ref Des,REMARKS,MECH_KIT1,TOLERANCE,OPERATING_VOLTAGE,POWER_RATING,MANUFACTURER_PRIMARY,MANUFACTURER_PRIMARY_ORDER_CODE,DISTRIBUTOR_PRIMARY,DISTRIBUTOR_PRIMARY_ORDER_CODE,MANUFACTURER_SECONDARY,MANUFACTURER_SECONDARY_ORDER_CODE,DISTRIBUTOR_SECONDARY,DISTRIBUTOR_SECONDARY_ORDER_CODE
1,"DIODE, LED",140-10005530,LTW-C-191TS5,White LED 180 mcd 0603,LIT_0603_LED,LED4, , , , ,?,LiteOn,LTW-C-191TS5,RS Semiconductor,703-1200, , , , 
1,"DIODE,LED",140-10007409,YELLOW,LEDYELLOWCLEAR0603SMD,SMCW-0603_Y,LED5, , , , ,?,WurthElektronik,150060YS75000,Digi-KeyCorporation,732-4981-1-ND, , , , 
6,Rubber Foot,201-10007449,Rubber Foot d=6.4mm/h=2.1mm black,"Bumper Cylindrical, Dia 6.35mm, height=2.1mm",BS25BL07X30RP,"MP1,MP2,MP3,MP4,MP5,MP6", , , , ,?,BumperSpecialties,BS25BL07X30RP,digikey,2042-1053-ND, , , , 
6,"PASSIVE, Resistor Array/4fach",150-10005168,33,Resistor Array/4fach,CAT16_0804,"MR1,MR2,MR3,MR4,MR14,MR15", , ,1%,25V,0.0625W,Yageo,YC124-FR-0733RL, , , , , , 
1,"PASSIVE,Resistor",150-10005972,10k,Array(8-way),PAN_EXB2HV,MR10, , ,5,25,0.063,PANASONIC,EXB-2HV103JV,MOUSER,667-EXB-2HV103JV, , , , 
3,"PASSIVE, Resistor Array/4fach",150-10005184,10k,Resistor Array/4fach,CAT16_0804,"MR11,MR12,MR13", , ,1%,25V,0.0625W,Yageo,YC124-FR-0710KL, , , , , , 
5,"PASSIVE, Resistor Array/4fach",150-10005182,4.7k,Resistor Array/4fach,CAT16_0804,"MR5,MR6,MR7,MR8,MR9", , ,1%,25V,0.0625W,Yageo,YC124-FR-074K7L, , , , , , 
1,"OTHER,Oscillator",171-10007843,ECS-1612MV,CrystalOscillatorXO50MHzHCMOS,ECS-1612MV_1P6X1P2X0P6,OSC1, , , ,1.5V-3.6V,?,ECSInc.,ECS-1612MV-500-CN-TR,Digi-KeyCorporation,XC2834TR-ND, , , , 
6,"PASSIVE, Resistor",150-00000058,150,"resistor,0402,1/16Watt,E24",EIA0402,"R1,R114,R115,R116,R117,R118", , ,1%,50V,0.0625W,YAGEO,RC0402FR-07150RL,Farnell, , , , , 
1,"PASSIVE, Resistor",150-00000085,2K0,"resistor,0402,1/16Watt,E24",EIA0402,R10, , ,1%,50V,0.0625W,YAGEO,RC0402FR-072KL,Farnell, , , , , 
